Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Chg,Volume,"Open Int","OI Chg",Delta,IV,Type,Time
"5,650.00",+7.61%,473.10,483.95,494.80,0.00,unch,unch,0,0,unch,0.99737,10.72%,Call,N/A
"5,675.00",+7.20%,449.00,459.80,470.60,0.00,unch,unch,0,0,unch,0.98783,12.60%,Call,N/A
"5,700.00",+6.79%,425.00,435.80,446.60,0.00,unch,unch,0,0,unch,0.97836,13.27%,Call,N/A
"5,725.00",+6.38%,401.20,411.95,422.70,0.00,unch,unch,0,0,unch,0.96827,13.61%,Call,N/A
"5,750.00",+5.97%,378.20,386.75,395.30,0.00,unch,unch,0,0,unch,0.96909,12.66%,Call,N/A
"5,775.00",+5.56%,355.70,363.70,371.70,0.00,unch,unch,0,0,unch,0.95249,13.24%,Call,N/A
"5,800.00",+5.15%,332.20,340.30,348.40,0.00,unch,unch,0,0,unch,0.93912,13.28%,Call,N/A
"5,825.00",+4.74%,308.90,317.10,325.30,0.00,unch,unch,0,0,unch,0.92440,13.23%,Call,N/A
"5,850.00",+4.33%,285.90,294.15,302.40,272.12,+272.12,unch,4,0,unch,0.90794,13.13%,Call,02/13/25
"5,860.00",+4.17%,276.80,285.10,293.40,0.00,unch,unch,0,0,unch,0.90052,13.10%,Call,N/A
"5,870.00",+4.01%,267.80,276.10,284.40,0.00,unch,unch,0,0,unch,0.89278,13.05%,Call,N/A
"5,875.00",+3.93%,263.30,271.60,279.90,0.00,unch,unch,0,0,unch,0.88888,13.02%,Call,N/A
"5,880.00",+3.84%,258.80,267.10,275.40,0.00,unch,unch,0,0,unch,0.88497,12.99%,Call,N/A
"5,890.00",+3.68%,249.90,258.20,266.50,0.00,unch,unch,0,0,unch,0.87655,12.93%,Call,N/A
"5,900.00",+3.52%,241.00,249.35,257.70,0.00,unch,unch,0,0,unch,0.86780,12.86%,Call,N/A
"5,910.00",+3.35%,232.20,240.55,248.90,0.00,unch,unch,0,0,unch,0.85870,12.79%,Call,N/A
"5,920.00",+3.19%,223.40,231.80,240.20,0.00,unch,unch,0,0,unch,0.84925,12.71%,Call,N/A
"5,925.00",+3.11%,219.10,227.50,235.90,0.00,unch,unch,0,0,unch,0.84413,12.68%,Call,N/A
"5,930.00",+3.03%,214.80,223.20,231.60,0.00,unch,unch,0,0,unch,0.83899,12.64%,Call,N/A
"5,940.00",+2.86%,206.70,213.45,220.20,0.00,unch,unch,0,0,unch,0.83365,12.28%,Call,N/A
"5,950.00",+2.70%,198.20,204.95,211.70,169.22,unch,unch,0,1,unch,0.82248,12.20%,Call,02/05/25
"5,960.00",+2.54%,189.80,196.55,203.30,158.01,unch,unch,0,1,+1,0.81073,12.13%,Call,02/12/25
"5,970.00",+2.37%,181.50,188.25,195.00,0.00,unch,unch,0,0,unch,0.79841,12.05%,Call,N/A
"5,975.00",+2.29%,177.30,184.10,190.90,0.00,unch,unch,0,0,unch,0.79219,12.00%,Call,N/A
"5,980.00",+2.21%,173.20,180.00,186.80,157.31,unch,unch,0,1,unch,0.78572,11.95%,Call,02/11/25
"5,990.00",+2.05%,165.10,171.90,178.70,147.10,unch,unch,0,13,unch,0.77227,11.87%,Call,02/11/25
"6,000.00",+1.88%,157.10,163.85,170.60,147.82,+147.82,unch,4,2,unch,0.75843,11.77%,Call,02/13/25
"6,010.00",+1.72%,149.10,155.90,162.70,136.82,+136.82,unch,3,17,unch,0.74400,11.66%,Call,02/13/25
"6,020.00",+1.55%,141.30,148.10,154.90,123.69,unch,unch,0,1,unch,0.72884,11.56%,Call,02/11/25
"6,025.00",+1.47%,137.40,144.20,151.00,0.00,unch,unch,0,0,unch,0.72115,11.50%,Call,N/A
"6,030.00",+1.39%,133.60,140.40,147.20,111.36,unch,unch,0,12,+5,0.71310,11.45%,Call,02/12/25
"6,040.00",+1.23%,126.00,132.80,139.60,115.48,+15.80,+15.85%,3,6,+1,0.69677,11.33%,Call,02/13/25
"6,050.00",+1.06%,119.30,125.75,132.20,94.18,unch,unch,0,14,+5,0.67881,11.28%,Call,02/12/25
"6,060.00",+0.90%,114.90,119.90,124.90,0.00,unch,unch,0,0,unch,0.65826,11.40%,Call,N/A
"6,070.00",+0.74%,107.80,112.75,117.70,114.88,+31.96,+38.54%,3,2,unch,0.63670,11.60%,Call,02/13/25
"6,075.00",+0.66%,104.30,109.25,114.20,99.35,+99.35,unch,1,3,unch,0.63095,11.21%,Call,02/13/25
"6,080.00",+0.57%,100.80,105.75,110.70,90.72,+15.14,+20.03%,1,2,+1,0.62156,11.14%,Call,02/13/25
"6,090.00",+0.41%,94.00,98.95,103.90,99.60,+99.60,unch,101,301,unch,0.60135,11.11%,Call,02/13/25
"6,100.00",+0.25%,87.40,92.35,97.30,87.43,+36.70,+72.34%,3,10,unch,0.58712,10.14%,Call,02/13/25
"6,110.00",+0.08%,82.20,85.00,87.80,89.20,+89.20,unch,6,3,unch,0.56191,10.62%,Call,02/13/25
"6,120.00",-0.08%,76.10,78.85,81.60,82.04,+82.04,unch,4,0,unch,0.54023,10.51%,Call,02/13/25
"6,125.00",-0.16%,73.90,76.25,78.60,78.13,+37.80,+93.73%,1,1,-1,0.52863,10.79%,Call,02/13/25
"6,130.00",-0.24%,70.80,73.20,75.60,46.46,+46.46,unch,19,0,unch,0.51795,10.43%,Call,02/13/25
"6,140.00",-0.41%,64.70,67.30,69.90,69.31,+26.82,+63.12%,2,2,+1,0.49569,10.59%,Call,02/13/25
"6,150.00",-0.57%,59.50,61.95,64.40,56.25,+17.73,+46.03%,1,38,+1,0.47211,10.20%,Call,02/13/25
"6,160.00",-0.73%,54.50,56.80,59.10,38.88,unch,unch,0,5,+1,0.44866,10.10%,Call,02/12/25
"6,170.00",-0.90%,49.60,51.85,54.10,44.37,+11.62,+35.48%,1,4,+2,0.42492,9.99%,Call,02/13/25
"6,175.00",-0.98%,47.20,49.45,51.70,47.32,+22.34,+89.43%,7,3,+1,0.40971,9.61%,Call,02/13/25
"6,200.00",-1.39%,36.60,38.65,40.70,39.63,+14.42,+57.20%,244,"1,577","+1,441",0.35571,9.86%,Call,02/13/25
"6,225.00",-1.80%,27.80,29.60,31.40,31.99,+12.99,+68.37%,91,31,+18,0.29541,9.50%,Call,02/13/25
"6,250.00",-2.21%,22.60,23.20,23.80,23.22,+10.02,+75.91%,26,84,+51,0.24569,9.53%,Call,02/13/25
"6,275.00",-2.62%,16.60,17.20,17.80,17.05,+7.55,+79.47%,13,226,+165,0.19617,9.35%,Call,02/13/25
"6,300.00",-3.02%,12.00,12.50,13.00,12.45,+5.85,+88.64%,6,382,+1,0.15400,9.26%,Call,02/13/25
"6,325.00",-3.43%,8.60,9.00,9.40,4.13,unch,unch,0,6,+4,0.11882,9.21%,Call,02/12/25
"6,350.00",-3.84%,6.00,6.35,6.70,5.29,+2.34,+79.32%,6,4,+2,0.08941,9.15%,Call,02/13/25
"6,375.00",-4.25%,4.10,4.45,4.80,3.40,+1.35,+65.85%,1,6,+4,0.06635,9.12%,Call,02/13/25
"6,400.00",-4.66%,2.90,3.20,3.50,2.35,+2.35,unch,6,8,unch,0.04973,9.18%,Call,02/13/25
"6,500.00",-6.29%,0.70,0.90,1.10,0.85,+0.85,unch,5,1,unch,0.01496,9.54%,Call,02/13/25
"6,600.00",-7.93%,0.20,0.35,0.50,0.40,+0.40,unch,4,1,unch,0.00687,10.63%,Call,02/13/25
"6,700.00",-9.57%,0.05,0.20,0.35,0.15,unch,unch,0,6,unch,0.00335,11.65%,Call,02/10/25
"6,800.00",-11.20%,0.00,0.15,0.30,0.20,+0.20,unch,1,0,unch,0.00295,13.39%,Call,02/13/25
"7,000.00",-14.47%,0.00,0.13,0.25,0.00,unch,unch,0,0,unch,0.00162,16.04%,Call,N/A
"7,200.00",-17.74%,0.00,0.10,0.20,0.00,unch,unch,0,0,unch,0.00114,18.76%,Call,N/A
"7,400.00",-21.01%,0.00,0.10,0.20,0.00,unch,unch,0,0,unch,0.00100,21.67%,Call,N/A
"7,600.00",-24.28%,0.00,0.10,0.20,0.10,unch,unch,0,5,unch,0.00089,24.47%,Call,02/04/25
"7,800.00",-27.55%,0.00,0.08,0.15,0.00,unch,unch,0,0,unch,0.00063,26.57%,Call,N/A
"2,400.00",-60.75%,0.00,0.10,0.20,0.25,unch,unch,0,5,unch,-0.00022,100.28%,Put,02/04/25
"2,600.00",-57.48%,0.00,0.13,0.25,0.17,unch,unch,0,3,unch,-0.00029,93.54%,Put,02/11/25
"2,800.00",-54.21%,0.00,0.15,0.30,0.00,unch,unch,0,0,unch,-0.00037,86.98%,Put,N/A
"3,000.00",-50.94%,0.05,0.20,0.35,0.30,unch,unch,0,"1,010","+1,000",-0.00052,81.47%,Put,02/12/25
"3,200.00",-47.67%,0.15,0.28,0.40,0.00,unch,unch,0,0,unch,-0.00074,76.44%,Put,N/A
"3,400.00",-44.40%,0.25,0.38,0.50,0.60,unch,unch,0,1,unch,-0.00105,71.58%,Put,02/11/25
"3,600.00",-41.13%,0.35,0.50,0.65,0.50,-0.13,-20.63%,30,120,+60,-0.00147,66.77%,Put,02/13/25
"3,800.00",-37.86%,0.55,0.70,0.85,0.62,+0.62,unch,20,250,unch,-0.00194,61.68%,Put,02/13/25
"4,000.00",-34.59%,0.75,0.90,1.05,0.95,+0.95,unch,28,0,unch,-0.00305,57.98%,Put,02/13/25
"4,200.00",-31.32%,0.95,1.10,1.25,1.25,+1.25,unch,1,8,unch,-0.00424,53.45%,Put,02/13/25
"4,400.00",-28.05%,1.25,1.43,1.60,1.50,-0.30,-16.67%,49,5,+1,-0.00550,48.45%,Put,02/13/25
"4,500.00",-26.41%,1.45,1.60,1.75,1.65,+1.65,unch,1,0,unch,-0.00630,46.00%,Put,02/13/25
"4,600.00",-24.78%,1.65,1.83,2.00,2.72,unch,unch,0,12,unch,-0.00726,43.59%,Put,02/07/25
"4,700.00",-23.14%,1.90,2.05,2.20,2.75,unch,unch,0,16,unch,-0.00849,41.26%,Put,02/11/25
"4,800.00",-21.51%,2.15,2.33,2.50,2.30,+2.30,unch,39,212,unch,-0.00995,38.93%,Put,02/13/25
"4,900.00",-19.87%,2.45,2.63,2.80,2.72,-0.68,-20.00%,2,63,+56,-0.01217,36.85%,Put,02/13/25
"5,000.00",-18.23%,2.80,3.00,3.20,3.20,+3.20,unch,4,25,unch,-0.01488,34.72%,Put,02/13/25
"5,100.00",-16.60%,3.10,3.30,3.50,4.40,unch,unch,0,20,+17,-0.01652,31.93%,Put,02/12/25
"5,200.00",-14.96%,3.50,3.75,4.00,3.70,-0.70,-15.91%,2,29,+2,-0.01965,29.52%,Put,02/13/25
"5,300.00",-13.33%,4.00,4.25,4.50,5.45,+5.45,unch,19,14,unch,-0.02394,27.19%,Put,02/13/25
"5,400.00",-11.69%,4.70,4.95,5.20,4.90,-1.10,-18.33%,7,78,+65,-0.02947,24.81%,Put,02/13/25
"5,450.00",-10.88%,5.20,5.45,5.70,5.70,-2.10,-26.92%,5,8,+5,-0.03472,23.95%,Put,02/13/25
"5,500.00",-10.06%,5.80,6.10,6.40,6.75,-1.40,-17.18%,1,63,+4,-0.03864,22.70%,Put,02/13/25
"5,550.00",-9.24%,6.60,6.90,7.20,6.90,-2.55,-26.98%,22,31,+13,-0.04482,21.66%,Put,02/13/25
"5,600.00",-8.42%,7.60,7.90,8.20,8.20,-2.90,-26.13%,5,45,-1,-0.05387,20.81%,Put,02/13/25
"5,650.00",-7.61%,8.90,9.25,9.60,9.30,-3.91,-29.60%,34,49,+18,-0.06288,19.72%,Put,02/13/25
"5,675.00",-7.20%,9.70,10.05,10.40,19.22,unch,unch,0,4,+2,-0.06866,19.23%,Put,02/12/25
"5,700.00",-6.79%,10.60,10.95,11.30,12.55,-2.61,-17.22%,7,22,+10,-0.07540,18.77%,Put,02/13/25
"5,725.00",-6.38%,11.60,12.00,12.40,18.53,unch,unch,0,2,unch,-0.08315,18.32%,Put,02/12/25
"5,750.00",-5.97%,12.80,13.20,13.60,13.30,-6.00,-31.09%,23,31,unch,-0.09237,17.91%,Put,02/13/25
"5,775.00",-5.56%,14.20,14.60,15.00,16.17,-7.69,-32.23%,1,78,+2,-0.10205,17.45%,Put,02/13/25
"5,800.00",-5.15%,15.70,16.25,16.80,21.90,-2.10,-8.75%,1,42,-1,-0.11370,17.05%,Put,02/13/25
"5,825.00",-4.74%,17.50,18.05,18.60,25.40,unch,unch,0,7,unch,-0.12660,16.63%,Put,02/11/25
"5,850.00",-4.33%,19.60,20.20,20.80,20.35,-10.65,-34.35%,6,10,+1,-0.14205,16.27%,Put,02/13/25
"5,860.00",-4.17%,20.50,21.15,21.80,31.20,unch,unch,0,143,+139,-0.14800,16.08%,Put,02/12/25
"5,870.00",-4.01%,21.50,22.05,22.60,39.30,unch,unch,0,16,+10,-0.15445,15.90%,Put,02/12/25
"5,875.00",-3.93%,22.00,22.60,23.20,22.80,+22.80,unch,4,9,unch,-0.15881,15.88%,Put,02/13/25
"5,880.00",-3.84%,22.50,23.15,23.80,41.40,unch,unch,0,10,unch,-0.16177,15.76%,Put,02/07/25
"5,890.00",-3.68%,23.60,24.20,24.80,29.10,+29.10,unch,2,10,unch,-0.16912,15.59%,Put,02/13/25
"5,900.00",-3.52%,24.70,25.35,26.00,30.50,-9.00,-22.78%,10,410,+400,-0.17695,15.43%,Put,02/13/25
"5,910.00",-3.35%,25.90,26.55,27.20,26.90,+26.90,unch,4,14,unch,-0.18629,15.35%,Put,02/13/25
"5,920.00",-3.19%,27.10,27.75,28.40,27.90,-16.10,-36.59%,27,19,unch,-0.19394,15.13%,Put,02/13/25
"5,925.00",-3.11%,27.80,28.40,29.00,35.30,+35.30,unch,2,4,unch,-0.19785,15.01%,Put,02/13/25
"5,930.00",-3.03%,28.50,29.10,29.70,29.50,-21.60,-42.27%,5,25,+11,-0.20371,15.02%,Put,02/13/25
"5,940.00",-2.86%,29.90,30.55,31.20,48.30,unch,unch,0,3,unch,-0.21196,14.78%,Put,02/12/25
"5,950.00",-2.70%,31.40,32.00,32.60,32.30,-19.70,-37.88%,8,1,+1,-0.22256,14.68%,Put,02/13/25
"5,960.00",-2.54%,32.90,33.55,34.20,38.90,+38.90,unch,4,0,unch,-0.23195,14.45%,Put,02/13/25
"5,970.00",-2.37%,34.50,35.25,36.00,48.80,+48.80,unch,1,0,unch,-0.24297,14.30%,Put,02/13/25
"5,975.00",-2.29%,35.40,36.10,36.80,35.90,+35.90,unch,132,1,unch,-0.24806,14.18%,Put,02/13/25
"5,980.00",-2.21%,36.30,36.95,37.60,51.20,+51.20,unch,20,5,unch,-0.25421,14.13%,Put,02/13/25
"5,990.00",-2.05%,38.10,38.75,39.40,48.50,+48.50,unch,4,1,unch,-0.26604,13.97%,Put,02/13/25
"6,000.00",-1.88%,40.00,40.65,41.30,39.30,-25.30,-39.16%,19,153,+151,-0.27846,13.80%,Put,02/13/25
"6,010.00",-1.72%,42.00,42.70,43.40,43.78,-36.97,-45.78%,6,85,+63,-0.29137,13.64%,Put,02/13/25
"6,020.00",-1.55%,44.10,44.85,45.60,45.30,-31.62,-41.11%,3,5,+2,-0.30587,13.55%,Put,02/13/25
"6,025.00",-1.47%,45.20,46.00,46.80,69.90,unch,unch,0,24,+1,-0.31195,13.40%,Put,02/12/25
"6,030.00",-1.39%,46.40,48.20,50.00,69.04,unch,unch,0,14,+4,-0.32107,13.49%,Put,02/12/25
"6,040.00",-1.23%,48.80,50.65,52.50,50.70,+50.70,unch,2,6,unch,-0.33575,13.34%,Put,02/13/25
"6,050.00",-1.06%,51.30,53.30,55.30,50.27,-25.57,-33.72%,93,9,+8,-0.35125,13.19%,Put,02/13/25
"6,060.00",-0.90%,54.00,54.80,55.60,76.20,unch,unch,0,7,unch,-0.36527,12.84%,Put,02/11/25
"6,070.00",-0.74%,56.80,58.95,61.10,58.11,+58.11,unch,2,51,unch,-0.38281,12.75%,Put,02/13/25
"6,075.00",-0.66%,58.30,59.05,59.80,87.86,unch,unch,0,9,+8,-0.39093,12.59%,Put,02/12/25
"6,080.00",-0.57%,59.80,62.00,64.20,73.93,+73.93,unch,2,14,unch,-0.40112,12.73%,Put,02/13/25
"6,090.00",-0.41%,62.90,63.70,64.50,64.30,+64.30,unch,101,300,unch,-0.41803,12.43%,Put,02/13/25
"6,100.00",-0.25%,66.30,68.45,70.60,68.20,+68.20,unch,8,2,unch,-0.43740,12.36%,Put,02/13/25
"6,110.00",-0.08%,69.80,70.70,71.60,87.68,+87.68,unch,9,0,unch,-0.45653,12.04%,Put,02/13/25
"6,120.00",+0.08%,73.60,76.00,78.40,0.00,unch,unch,0,0,unch,-0.47686,12.12%,Put,N/A
"6,125.00",+0.16%,75.60,78.00,80.40,0.00,unch,unch,0,0,unch,-0.48696,12.05%,Put,N/A
"6,130.00",+0.24%,77.60,80.00,82.40,92.50,+92.50,unch,7,0,unch,-0.49710,11.97%,Put,02/13/25
"6,140.00",+0.41%,81.80,84.40,87.00,111.50,unch,unch,0,4,unch,-0.51818,11.85%,Put,02/11/25
"6,150.00",+0.57%,86.30,88.90,91.50,104.90,+104.90,unch,1,0,unch,-0.54011,11.72%,Put,02/13/25
"6,160.00",+0.73%,88.70,92.60,96.50,109.20,+109.20,unch,12,0,unch,-0.56305,11.43%,Put,02/13/25
"6,170.00",+0.90%,93.00,97.05,101.10,0.00,unch,unch,0,0,unch,-0.58761,11.21%,Put,N/A
"6,175.00",+0.98%,95.70,99.65,103.60,100.87,+100.87,unch,4,0,unch,-0.59705,11.34%,Put,02/13/25
"6,200.00",+1.39%,109.40,114.35,119.30,173.40,unch,unch,0,1,unch,-0.65547,10.96%,Put,02/07/25
"6,225.00",+1.80%,125.10,131.25,137.40,130.62,+130.62,unch,4,0,unch,-0.71480,10.77%,Put,02/13/25
"6,250.00",+2.21%,142.40,148.40,154.40,0.00,unch,unch,0,0,unch,-0.77842,10.58%,Put,N/A
"6,275.00",+2.62%,158.50,165.70,172.90,0.00,unch,unch,0,0,unch,-0.84969,9.86%,Put,N/A
"6,300.00",+3.02%,178.70,185.70,192.70,0.00,unch,unch,0,0,unch,-0.94584,8.98%,Put,N/A
"6,325.00",+3.43%,200.10,208.25,216.40,0.00,unch,unch,0,0,unch,-0.86412,11.98%,Put,N/A
"6,350.00",+3.84%,222.40,230.60,238.80,0.00,unch,unch,0,0,unch,-0.89325,12.07%,Put,N/A
"6,375.00",+4.25%,241.40,251.60,261.80,0.00,unch,unch,0,0,unch,-0.92976,12.08%,Put,N/A
"6,400.00",+4.66%,264.90,275.15,285.40,0.00,unch,unch,0,0,unch,-0.96577,11.97%,Put,N/A
"6,500.00",+6.29%,362.20,372.50,382.80,0.00,unch,unch,0,0,unch,0.00000,0.00%,Put,N/A
"6,600.00",+7.93%,456.30,472.40,488.50,0.00,unch,unch,0,0,unch,-0.93900,19.95%,Put,N/A
"6,700.00",+9.57%,555.80,571.90,588.00,0.00,unch,unch,0,0,unch,-0.94806,22.55%,Put,N/A
"6,800.00",+11.20%,655.50,671.55,687.60,0.00,unch,unch,0,0,unch,-0.95705,25.04%,Put,N/A
"7,000.00",+14.47%,854.80,870.85,886.90,915.45,unch,unch,0,0,unch,-0.96647,29.66%,Put,02/11/25
"7,200.00",+17.74%,"1,054.00","1,070.10","1,086.20",0.00,unch,unch,0,0,unch,-0.97395,33.80%,Put,N/A
"7,400.00",+21.01%,"1,253.40","1,269.45","1,285.50",0.00,unch,unch,0,0,unch,-0.98566,37.16%,Put,N/A
"7,600.00",+24.28%,"1,452.70","1,468.75","1,484.80",0.00,unch,unch,0,0,unch,0.00000,0.00%,Put,N/A
"7,800.00",+27.55%,"1,652.00","1,668.05","1,684.10",0.00,unch,unch,0,0,unch,0.00000,0.00%,Put,N/A
"Downloaded from Barchart.com as of 02-14-2025 01:27am CST"
